,ghsa_id,cve_id,url,html_url,summary,description,type,severity,repository_advisory_url,source_code_location,identifiers_0_value,identifiers_0_type,identifiers_1_value,identifiers_1_type,references,published_at,updated_at,github_reviewed_at,nvd_published_at,withdrawn_at,vulnerabilities_0_package_ecosystem,vulnerabilities_0_package_name,vulnerabilities_0_vulnerable_version_range,vulnerabilities_0_first_patched_version,vulnerabilities_0_vulnerable_functions,cvss_vector_string,cvss_score,cwes_0_cwe_id,cwes_0_name,credits,vulnerabilities_1_package_ecosystem,vulnerabilities_1_package_name,vulnerabilities_1_vulnerable_version_range,vulnerabilities_1_first_patched_version,vulnerabilities_1_vulnerable_functions,vulnerabilities_2_package_ecosystem,vulnerabilities_2_package_name,vulnerabilities_2_vulnerable_version_range,vulnerabilities_2_first_patched_version,vulnerabilities_2_vulnerable_functions,vulnerabilities_3_package_ecosystem,vulnerabilities_3_package_name,vulnerabilities_3_vulnerable_version_range,vulnerabilities_3_first_patched_version,vulnerabilities_3_vulnerable_functions,cwes_1_cwe_id,cwes_1_name,cwes,vulnerabilities_4_package_ecosystem,vulnerabilities_4_package_name,vulnerabilities_4_vulnerable_version_range,vulnerabilities_4_first_patched_version,vulnerabilities_4_vulnerable_functions,vulnerabilities_5_package_ecosystem,vulnerabilities_5_package_name,vulnerabilities_5_vulnerable_version_range,vulnerabilities_5_first_patched_version,vulnerabilities_5_vulnerable_functions,vulnerabilities_6_package_ecosystem,vulnerabilities_6_package_name,vulnerabilities_6_vulnerable_version_range,vulnerabilities_6_first_patched_version,vulnerabilities_6_vulnerable_functions,vulnerabilities_7_package_ecosystem,vulnerabilities_7_package_name,vulnerabilities_7_vulnerable_version_range,vulnerabilities_7_first_patched_version,vulnerabilities_7_vulnerable_functions,vulnerabilities_8_package_ecosystem,vulnerabilities_8_package_name,vulnerabilities_8_vulnerable_version_range,vulnerabilities_8_first_patched_version,vulnerabilities_8_vulnerable_functions,vulnerabilities_9_package_ecosystem,vulnerabilities_9_package_name,vulnerabilities_9_vulnerable_version_range,vulnerabilities_9_first_patched_version,vulnerabilities_9_vulnerable_functions,cwes_2_cwe_id,cwes_2_name,vulnerabilities_10_package_ecosystem,vulnerabilities_10_package_name,vulnerabilities_10_vulnerable_version_range,vulnerabilities_10_first_patched_version,vulnerabilities_10_vulnerable_functions,vulnerabilities_11_package_ecosystem,vulnerabilities_11_package_name,vulnerabilities_11_vulnerable_version_range,vulnerabilities_11_first_patched_version,vulnerabilities_11_vulnerable_functions,vulnerabilities_12_package_ecosystem,vulnerabilities_12_package_name,vulnerabilities_12_vulnerable_version_range,vulnerabilities_12_first_patched_version,vulnerabilities_12_vulnerable_functions,vulnerabilities_2_vulnerable_functions_0,cwes_3_cwe_id,cwes_3_name,cwes_4_cwe_id,cwes_4_name,vulnerabilities_13_package_ecosystem,vulnerabilities_13_package_name,vulnerabilities_13_vulnerable_version_range,vulnerabilities_13_first_patched_version,vulnerabilities_13_vulnerable_functions,vulnerabilities_14_package_ecosystem,vulnerabilities_14_package_name,vulnerabilities_14_vulnerable_version_range,vulnerabilities_14_first_patched_version,vulnerabilities_14_vulnerable_functions
0,GHSA-hv79-p62r-wg3p,CVE-2023-43661,https://api.github.com/advisories/GHSA-hv79-p62r-wg3p,https://github.com/advisories/GHSA-hv79-p62r-wg3p,Cachet vulnerable to Authenticated Remote Code Execution,,reviewed,critical,https://api.github.com/repos/cachethq/cachet/security-advisories/GHSA-hv79-p62r-wg3p,https://github.com/cachethq/cachet,GHSA-hv79-p62r-wg3p,GHSA,CVE-2023-43661,CVE,,2023-10-16T14:20:53Z,2023-10-16T14:20:54Z,2023-10-16T14:20:53Z,,,composer,cachethq/cachet,< 2.4,2.4,[],CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:L,9.1,CWE-94,Improper Control of Generation of Code ('Code Injection'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GHSA-cvwv-h85m-w37h,CVE-2023-4829,https://api.github.com/advisories/GHSA-cvwv-h85m-w37h,https://github.com/advisories/GHSA-cvwv-h85m-w37h,Cross-site Scripting (XSS) in froxlor/froxlor,,reviewed,medium,,https://github.com/Froxlor/Froxlor,GHSA-cvwv-h85m-w37h,GHSA,CVE-2023-4829,CVE,,2023-10-13T15:30:19Z,2023-10-13T18:29:54Z,2023-10-13T18:29:53Z,,,composer,froxlor/froxlor,< 2.0.22,2.0.22,[],CVSS:3.0/AV:A/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:L,4.3,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GHSA-j5hq-6frc-64v3,CVE-2023-5564,https://api.github.com/advisories/GHSA-j5hq-6frc-64v3,https://github.com/advisories/GHSA-j5hq-6frc-64v3,Cross-site Scripting (XSS) in froxlor/froxlor,,reviewed,medium,,https://github.com/Froxlor/Froxlor,GHSA-j5hq-6frc-64v3,GHSA,CVE-2023-5564,CVE,,2023-10-13T03:30:34Z,2023-10-13T23:50:19Z,2023-10-13T23:48:59Z,,,composer,froxlor/froxlor,< 2.1.0-dev1,2.1.0-dev1,[],CVSS:3.0/AV:L/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:L,5.2,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GHSA-33vj-r6p6-x4p8,CVE-2023-5511,https://api.github.com/advisories/GHSA-33vj-r6p6-x4p8,https://github.com/advisories/GHSA-33vj-r6p6-x4p8,Cross-Site Request Forgery (CSRF) in snipe/snipe-it,,reviewed,high,,https://github.com/snipe/snipe-it,GHSA-33vj-r6p6-x4p8,GHSA,CVE-2023-5511,CVE,,2023-10-11T03:30:32Z,2023-10-13T20:42:51Z,2023-10-11T20:49:41Z,,,composer,snipe/snipe-it,<= 6.2.2,6.2.3,[],CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,CWE-352,Cross-Site Request Forgery (CSRF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GHSA-2jc6-3fhj-8q84,CVE-2022-35950,https://api.github.com/advisories/GHSA-2jc6-3fhj-8q84,https://github.com/advisories/GHSA-2jc6-3fhj-8q84,OroCommerce Cross-site Scripting vulnerability in add note dialog of Shopping List line item,,reviewed,medium,https://api.github.com/repos/oroinc/orocommerce/security-advisories/GHSA-2jc6-3fhj-8q84,https://github.com/oroinc/orocommerce,GHSA-2jc6-3fhj-8q84,GHSA,CVE-2022-35950,CVE,,2023-10-10T21:10:28Z,2023-10-13T23:12:03Z,2023-10-10T21:10:28Z,,,composer,oro/commerce,">= 4.1.0, <= 4.1.13",,[],CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N,4.8,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,composer,oro/commerce,">= 4.2.0, <= 4.2.10",,[],composer,oro/commerce,">= 5.0.0, < 5.0.11",5.0.11,[],composer,oro/commerce,">= 5.1.0, < 5.1.1",5.1.1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GHSA-wrp2-6v6j-hfmg,CVE-2023-44763,https://api.github.com/advisories/GHSA-wrp2-6v6j-hfmg,https://github.com/advisories/GHSA-wrp2-6v6j-hfmg,ConcreteCMS vulnerable to Stored Cross-site Scripting,,reviewed,medium,,https://github.com/concretecms/concretecms,GHSA-wrp2-6v6j-hfmg,GHSA,CVE-2023-44763,CVE,,2023-10-10T12:32:12Z,2023-10-13T20:14:39Z,2023-10-10T22:23:43Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,CWE-434,Unrestricted Upload of File with Dangerous Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GHSA-rr5c-69c9-gj9f,CVE-2023-5452,https://api.github.com/advisories/GHSA-rr5c-69c9-gj9f,https://github.com/advisories/GHSA-rr5c-69c9-gj9f,Cross-site Scripting in snipe/snipe-it,,reviewed,medium,,https://github.com/snipe/snipe-it,GHSA-rr5c-69c9-gj9f,GHSA,CVE-2023-5452,CVE,,2023-10-06T21:30:49Z,2023-10-10T22:01:24Z,2023-10-09T21:35:06Z,,,composer,snipe/snipe-it,<= 6.2.1,6.2.2,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GHSA-6cxv-27r2-fp3m,CVE-2023-44771,https://api.github.com/advisories/GHSA-6cxv-27r2-fp3m,https://github.com/advisories/GHSA-6cxv-27r2-fp3m,Zenario CMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/TribalSystems/Zenario,GHSA-6cxv-27r2-fp3m,GHSA,CVE-2023-44771,CVE,,2023-10-06T15:30:20Z,2023-10-06T23:36:32Z,2023-10-06T18:44:38Z,,,composer,tribalsystems/zenario,<= 9.4.59197,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GHSA-437p-jfm4-2387,CVE-2023-44766,https://api.github.com/advisories/GHSA-437p-jfm4-2387,https://github.com/advisories/GHSA-437p-jfm4-2387,ConcreteCMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/concretecms/concretecms/,GHSA-437p-jfm4-2387,GHSA,CVE-2023-44766,CVE,,2023-10-06T15:30:20Z,2023-10-06T23:36:27Z,2023-10-06T18:42:44Z,,,composer,concrete5/concrete5,<= 9.2.1,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GHSA-mr4w-7vm9-cgqx,CVE-2023-44770,https://api.github.com/advisories/GHSA-mr4w-7vm9-cgqx,https://github.com/advisories/GHSA-mr4w-7vm9-cgqx,Zenario CMS Cross-site Scripting vulnerability,,reviewed,medium,,https://github.com/TribalSystems/Zenario,GHSA-mr4w-7vm9-cgqx,GHSA,CVE-2023-44770,CVE,,2023-10-06T15:30:20Z,2023-10-06T23:36:28Z,2023-10-06T18:43:57Z,,,composer,tribalsystems/zenario,<= 9.4.59197,,[],CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
